iter	Passed	Remaining
956	65244	2931
957	65306	2863
958	65376	2795
959	65434	2726
960	65498	2658
961	65548	2589
962	65601	2520
963	65672	2452
964	65765	2385
965	65858	2318
966	65932	2250
967	65999	2181
968	66063	2113
969	66150	2045
970	66232	1978
971	66320	1910
972	66414	1842
973	66497	1775
974	66573	1707
975	66642	1638
976	66708	1570
977	66776	1502
978	66843	1433
979	66921	1365
980	66975	1297
981	67029	1228
982	67087	1160
983	67138	1091
984	67191	1023
985	67248	954
986	67318	886
987	67374	818
988	67434	750
989	67496	681
990	67557	613
991	67612	545
992	67670	477
993	67723	408
994	67778	340
995	67844	272
996	67904	204
997	67956	136
998	68013	68
999	68085	0
